site,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,flowers,ovule.exp1,date.oe1,date.harvest,total.fruits,fruit.collected,height,flower.dev,dev.seed,seed.weight,notes,,
WG3C,control,north,Mertensia,29,B,open-hand,6/20/19,7/11/19,48,,,7/11/19,,,13.5,10,29,0.011,,,
WG3C,control,north,Mertensia,16,K,open-hand,6/27/19,7/9/19,66,,,7/11/19,,,17.2,20,48,0.031,,,
WG3C,control,north,Mertensia,16,I,open-hand,6/27/19,7/11/19,50,,,7/11/19,,,15.5,5,18,0.01,,,
WG3C,control,north,Mertensia,3,K,open-hand,6/17/19,7/9/19,46,,,7/11/19,,,15.2,7,26,0.02,,,
WG3C,control,north,Mertensia,2,F,open-hand,6/17/19,7/9/19,41,,,7/11/19,,,21,15,41,0.032,,,
WG3C,control,north,Mertensia,11,E,open-hand,6/27/19,7/9/19,41,,,7/11/19,,,11.1,11,38,0.015,,,
WG3C,control,north,Mertensia,10,M,open-hand,6/20/19,7/9/19,49,,,7/11/19,,,12,15,56,0.023,,,
WG3C,control,north,Mertensia,30,P,open,6/20/19,,44,,,,,,,6,18,0.007,,,
WG3C,control,north,Mertensia,29,C,open,6/20/19,7/9/19,35,,,7/11/19,,,13.1,3,11,0.008,,,
WG3C,control,north,Mertensia,16,L,open,6/27/19,7/9/19,19,,,7/11/19,,,13.8,9,32,0.014,,,
WG3C,control,north,Mertensia,16,B,open,6/27/19,7/9/19,17,,,7/11/19,,,14,0,0,0,,,
WG3C,control,north,Mertensia,3,L,open,6/17/19,7/3/19,16,,,7/11/19,,,14.5,0,0,0,,,
WG3C,control,north,Mertensia,2,E,open,6/17/19,7/9/19,30,,,7/11/19,,,12.5,4,7,0.001,,,
WG3C,control,north,Mertensia,11,E,open,6/27/19,7/11/19,17,,,7/11/19,,,12.5,8,19,0.013,,,
WG3C,control,north,Mertensia,10,M,open,6/17/19,7/9/19,42,,,7/11/19,,,12.5,6,21,0.009,,,
RustlersGulch,manip,south,Mertensia,1,K,open,6/19/19,7/5/19,,,,7/12/19,,,9,,,,,,
RustlersGulch,manip,south,Mertensia,6,O,open,6/19/19,7/5/19,,,,7/12/19,,,13,,,,,,
RustlersGulch,manip,south,Mertensia,5,I,open,6/19/19,7/5/19,,,,7/12/19,,,11,,,,,,
RustlersGulch,manip,south,Mertensia,8,A,open,6/19/19,7/10/19,,,,7/12/19,,,11,,,,,,
RustlersGulch,manip,south,Mertensia,12,N,open,6/26/19,7/5/19,,,,7/12/19,,,8.6,,,,,,
RustlersGulch,manip,south,Mertensia,23,K,open,6/26/19,7/5/19,,,,7/12/19,,,,,,,,,
RustlersGulch,manip,south,Mertensia,23,E,open,6/26/19,7/2/19,,,,7/12/19,,,5,,,,,,
RustlersGulch,manip,south,Mertensia,21,O,open,6/26/19,7/2/19,,,,7/12/19,,,10.7,,,,,,
RustlersGulch,manip,south,Mertensia,1,G,open-hand,6/19/19,7/5/19,,,,7/12/19,,,13,,,,,,
RustlersGulch,manip,south,Mertensia,6,B,open-hand,6/19/19,7/2/19,,,,7/12/19,,,9.4,,,,,,
RustlersGulch,manip,south,Mertensia,5,N,open-hand,6/19/19,7/5/19,,,,7/12/19,,,12.5,,,,,,
RustlersGulch,manip,south,Mertensia,8,P,open-hand,6/19/19,7/10/19,,,,7/12/19,,,12.3,,,,,,
RustlersGulch,manip,south,Mertensia,12,J,open-hand,6/19/19,7/10/19,,,,7/12/19,,,12.6,,,,,,
RustlersGulch,manip,south,Mertensia,13,N,open-hand,6/19/19,7/10/19,,,,7/12/19,,,7.2,,,,,,
RustlersGulch,manip,south,Mertensia,19,L,open-hand,6/19/19,7/5/19,,,,7/12/19,,,6.8,,,,,,
RustlersGulch,manip,south,Mertensia,20,O,open-hand,6/19/19,7/5/19,,,,7/12/19,,,11.8,,,,,,
RustlersGulch,control,north,Mertensia,1,O,open-hand,6/26/19,7/5/19,,,,7/17/19,,,9.5,,,,,,
RustlersGulch,control,north,Mertensia,7,O,open-hand,6/26/19,7/5/19,,,,7/17/19,,,6.8,,,,,,
RustlersGulch,control,north,Mertensia,11,O,open-hand,6/26/19,7/2/19,,,,7/17/19,,,6.5,,,,,,
RustlersGulch,control,north,Mertensia,12,H,open-hand,6/26/19,7/5/19,,,,7/17/19,,,16.1,,,,,,
RustlersGulch,control,north,Mertensia,14,P,open-hand,6/26/19,7/10/19,,,,7/17/19,,,10.5,,,,,,
RustlersGulch,control,north,Mertensia,22,K,open-hand,6/26/19,7/10/19,,,,7/17/19,,,13.5,,,,,,
RustlersGulch,control,north,Mertensia,23,I,open-hand,6/26/19,7/17/19,,,,7/17/19,,,18.5,,,,,,
RustlersGulch,control,north,Mertensia,23,B,open-hand,6/26/19,7/12/19,,,,7/17/19,,,18.3,,,,,,
RustlersGulch,control,north,Mertensia,6,G,open,6/26/19,7/10/19,,,,7/17/19,,,9.5,,,,,,
RustlersGulch,control,north,Mertensia,11,M,open,6/28/19,7/17/19,,,,7/17/19,,,8.2,,,,,,
RustlersGulch,control,north,Mertensia,10,L,open,6/26/19,7/5/19,,,,7/17/19,,,8.7,,,,,,
RustlersGulch,control,north,Mertensia,13,F,open,6/26/19,7/5/19,,,,7/17/19,,,12.2,,,,,,
RustlersGulch,control,north,Mertensia,15,I,open,6/26/19,7/17/19,,,,7/17/19,,,11.5,,,,,,
RustlersGulch,control,north,Mertensia,22,D,open,6/28/19,7/17/19,,,,7/17/19,,,15,,,,,,
RustlersGulch,control,north,Mertensia,21,B,open,6/28/19,7/10/19,,,,7/17/19,,,8.2,,,,,,
RustlersGulch,control,north,Mertensia,29,D,open,6/28/19,7/5/19,,,,7/12/19,,,9,,,,,,
Pfieler,manip,north,Mertensia,5,N,open,6/20/19,7/9/19,69,,,7/11/19,,,17.1,33,99,0.058,,,
Pfieler,manip,north,Mertensia,6,H,open,6/20/19,7/9/19,44,,,7/11/19,,,10.7,12,30,0.029,,,
Pfieler,manip,north,Mertensia,6,N,open,6/20/19,7/9/19,23,,,7/11/19,,,10.5,7,26,0.022,,,
Pfieler,manip,north,Mertensia,7,F,open,6/20/19,7/15/19,54,,,7/15/19,,,17.2,12,46,0.05,,,
Pfieler,manip,north,Mertensia,8,K,open,6/27/19,7/9/19,19,,,7/11/19,,,13,11,32,0.023,,,
Pfieler,manip,north,Mertensia,9,A,open,6/27/19,,,,,,,,,,,,,,
Pfieler,manip,north,Mertensia,10,C,open,6/27/19,7/15/19,35,,,7/15/19,,,14.3,16,46,0.03,,,
Pfieler,manip,north,Mertensia,21,J,open,6/27/19,7/9/19,41,,,7/15/19,,,13.1,17,45,0.03,,,
Pfieler,manip,north,Mertensia,5,M,open-hand,6/20/19,7/3/19,43,,,7/11/19,,,15,11,25,0.019,,,
Pfieler,manip,north,Mertensia,6,B,open-hand,6/20/19,7/11/19,75,,,7/11/19,,,15.5,25,60,0.055,,,
Pfieler,manip,north,Mertensia,6,O,open-hand,6/20/19,7/15/19,52,,,7/15/19,,,15.3,12,32,0.028,,,
Pfieler,manip,north,Mertensia,8,B,open-hand,6/20/19,7/15/19,34,,,7/15/19,,,14.7,12,25,0.01,,,
Pfieler,manip,north,Mertensia,9,H,open-hand,6/20/19,7/11/19,69,,,7/11/19,,,22.5,20,41,0.025,10G?,,
Pfieler,manip,north,Mertensia,15,O,open-hand,6/20/19,7/11/19,56,,,7/11/19,,,16,6,15,0.015,,,
Pfieler,manip,north,Mertensia,16,M,open-hand,6/20/19,7/11/19,39,,,7/15/19,,,17.4,10,35,0.029,,,
Pfieler,manip,north,Mertensia,21,K,open-hand,6/20/19,7/9/19,16,,,7/15/19,,,14.4,3,11,0.006,,,
Pfieler,control,south,Mertensia,2,H,open,7/1/19,7/18/19,54,,,7/18/19,,,13.5,13,23,0.025,,,
