site,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,#flowers,ovule.exp1,date.oe1,date.harvest,total.fruits,#fruit.collected,trait,fl.count.sharp,dev.seed.sharp,undev.seed.sharp,weight.sharp,dev.seed.rest,undev.seed,weight.rest,
RustlersGulch,control,south,Potentilla,9,J,open-hand,8/7/19,,5,,,,,,,2,32,,0.007,47,,0.029,
RustlersGulch,control,south,Potentilla,5,O,open-hand,7/24/19,,9,,,,,,,2,19,,0.003,116,,0.027,
RustlersGulch,control,south,Potentilla,30,O,open,7/31/19,,16,,,,,,,,,,,99,,0.01,
RustlersGulch,control,south,Potentilla,27,E,open,7/31/19,,14,,,,,,,,,,,44,,0.008,
RustlersGulch,control,south,Potentilla,22,B,open,8/7/19,,21,,,,,,,,,,,107,,0.013,
RustlersGulch,control,south,Potentilla,18,I,open,7/24/19,,15,,,,,,,,,,,187,,0.038,
RustlersGulch,control,south,Potentilla,15,N,open,7/31/19,,17,,,,,,,,,,,108,,0.015,
RustlersGulch,control,south,Potentilla,11,K,open,7/24/19,,13,,,,,,,,,,,97,,0.032,
RustlersGulch,control,south,Potentilla,9,L,open,7/31/19,,9,,,,,,,,,,,67,,0.012,
RustlersGulch,control,south,Potentilla,5,G,open,7/31/19,,15,,,,,,,,,,,81,,0.015,
BellviewBench,manip,south,Potentilla,7,I,open-hand,7/26/19,,21,,,,,,,2,3,,0,0,,0,
BellviewBench,manip,south,Potentilla,20,H,open-hand,7/26/19,,23,,,,,,,,,,,78,,0.022,
BellviewBench,manip,south,Potentilla,23,B,open-hand,7/26/19,,20,,,,,,,3,39,,0.012,195,,0.048,
BellviewBench,manip,south,Potentilla,30,A,open-hand,7/26/19,,26,,,,,,,6,82,,0.013,311,,0.085,
BellviewBench,manip,south,Potentilla,19,A,open-hand,,,21,,,,,,,,,,,210,,0.05,
BellviewBench,manip,south,Potentilla,13,I,open-hand,7/31/19,,19,,,,,,,1,14,,0,0,,0,
BellviewBench,manip,south,Potentilla,13,O,open-hand,,,34,,,,,,,5,89,,0.012,380,,0.085,
BellviewBench,manip,south,Potentilla,8,C,open-hand,,,16,,,,,,,,,,,0,,0,
BellviewBench,manip,south,Potentilla,7,A,open,7/26/19,,14,,,,,,,,,,,29,,0.01,
BellviewBench,manip,south,Potentilla,23,B,open,7/26/19,,24,,,,,,,,,,,238,,0.063,
BellviewBench,manip,south,Potentilla,30,A,open,7/26/19,,11,,,,,,,,,,,83,,0.027,
BellviewBench,manip,south,Potentilla,13,D,open,7/26/19,,18,,,,,,,,,,,113,,0.024,
BellviewBench,manip,south,Potentilla,19,B,open,,,7,,,,,,,,,,,41,,0.006,
BellviewBench,manip,south,Potentilla,13,O,open,7/31/19,,12,,,,,,,,,,,199,,0.027,
BellviewBench,manip,south,Potentilla,13,O,open,,,6,,,,,,,,,,,25,,0.007,
BellviewBench,manip,south,Potentilla,8,C,open,,,9,,,,,,,,,,,0,,0,
BellviewBench,control,north,Potentilla,21,F,open-hand,7/26/19,,13,,,,,,,2,20,,0.001,50,,0.009,
BellviewBench,control,north,Potentilla,24,E,open-hand,7/26/19,,27,,,,,,,,,,,136,,0.025,
BellviewBench,control,north,Potentilla,30,M,open-hand,7/26/19,,6,,,,,,,1,19,,0.002,22,,0.004,
BellviewBench,control,north,Potentilla,30,A,open-hand,7/26/19,,9,,,,,,,,,,,53,,0.015,
BellviewBench,control,north,Potentilla,25,A,open-hand,8/7/19,,10,,,,,,,,,,,0,,0,
BellviewBench,control,north,Potentilla,27,B,open-hand,7/31/19,,14,,,,,,,1,12,,0,3,,0,
BellviewBench,control,north,Potentilla,17,L,open-hand,8/7/19,,13,,,,,,,,,,,0,,0,
BellviewBench,control,north,Potentilla,3,A,open-hand,8/7/19,,9,,,,,,,,,,,0,,0,
BellviewBench,control,north,Potentilla,3,D,open,7/26/19,,20,,,,,,,,,,,256,,0.052,
BellviewBench,control,north,Potentilla,21,E,open,7/26/19,,16,,,,,,,,,,,155,,0.026,
BellviewBench,control,north,Potentilla,24,E,open,7/26/19,,31,,,,,,,,,,,53,,0.025,
