site,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,#flowers,ovule.exp1,date.oe1,date.harvest,total.fruits,#fruit.collected,height,dev.seed1,undev.seed1,weight1,dev.seed,undev.seed,notes,weight.rest,
WG3C,manip,south,Delphinium nutt,23,A,open-hand,6/27/19,7/11/19,3,,7/11/19,,,,21,36,10,0.014,23,15,,0.003,
WG3C,manip,south,Delphinium nutt,28,F,open-hand,7/1/19,7/15/19,3,,,,,,22.1,,,,15,9,,0.002,
WG3C,manip,south,Delphinium nutt,1,P,open,6/27/19,7/15/19,3,,,,,,26,,,,15,50,,0.004,
WG3C,manip,south,Delphinium nutt,4,P,open,6/27/19,7/18/19,5,,7/11/19,,,,24.7,,,,23,6,,0.021,
WG3C,manip,south,Delphinium nutt,5,P,open,7/1/19,7/15/19,4,,7/11/19,,,,29,29,3,0.01,42,4,,0.014,
WG3C,manip,south,Delphinium nutt,11,E,open,7/1/19,7/15/19,3,,7/11/19,,,,20.3,1,6,0,0,13,,0,
WG3C,manip,south,Delphinium nutt,17,L,open,6/27/19,7/11/19,4,,7/11/19,,,,20,0,45,0,0,0,,0,
WG3C,manip,south,Delphinium nutt,20,M,open,,7/11/19,3,,7/11/19,,,,15.5,17,18,0.011,25,6,,0.005,
WG3C,manip,south,Delphinium nutt,23,O,open,7/1/19,7/18/19,5,,,,,,22,,,,,,,,
WG3C,manip,south,Delphinium nutt,28,P,open,7/1/19,7/18/19,2,,,,,,17.2,,,,21,7,,0.01,
WG3C,control,north,Delphinium nutt,30,O,open-hand,7/1/19,7/22/19,6,,,,,,28.5,,,,10,17,,0.008,
WG3C,control,north,Delphinium nutt,27,L,open-hand,7/1/19,7/22/19,3,,,,,,31,8,20,0,30,7,,0.02,
WG3C,control,north,Delphinium nutt,24,P,open-hand,7/1/19,,9,,,,,,28.2,0,41,0,91,53,,0.044,
WG3C,control,north,Delphinium nutt,22,K,open-hand,7/1/19,7/15/19,1,,,,,,12.5,10,29,0.007,43,9,,0.031,
